Date,Store,Item,Category,Price,Quantity,Total,Receipt Total
2026-02-16,Walmart,Item 1,groceries,$33.96,3,$101.88,$126.53
2026-02-16,Walmart,Item 2,entertainment,$35.53,3,$106.59,$126.53
2026-02-16,Walmart,Item 3,groceries,$15.41,2,$30.82,$126.53
2026-02-16,Walmart,Item 4,dining,$6.43,3,$19.29,$126.53
2026-02-12,CVS,Item 1,groceries,$25.35,2,$50.70,$88.61
2026-02-12,CVS,Item 2,entertainment,$6.94,1,$6.94,$88.61
2026-02-12,CVS,Item 3,transportation,$26.60,1,$26.60,$88.61
2026-02-12,CVS,Item 4,groceries,$42.68,1,$42.68,$88.61
2026-02-11,Walmart,Item 1,entertainment,$41.38,3,$124.14,$65.26
2026-02-11,Walmart,Item 2,transportation,$34.17,1,$34.17,$65.26
2026-02-11,Walmart,Item 3,groceries,$49.45,2,$98.90,$65.26
2026-02-11,Walmart,Item 4,groceries,$19.63,2,$39.26,$65.26
2026-02-09,Shell,Item 1,dining,$31.93,3,$95.79,$143.42
2026-02-09,Shell,Item 2,groceries,$36.49,2,$72.98,$143.42
2026-02-09,Shell,Item 3,dining,$10.42,1,$10.42,$143.42
2026-02-09,Shell,Item 4,dining,$28.64,2,$57.28,$143.42
2026-02-05,Best Buy,Item 1,entertainment,$46.52,1,$46.52,$65.36
2026-02-05,Best Buy,Item 2,transportation,$11.39,1,$11.39,$65.36
2026-02-05,Best Buy,Item 3,electronics,$26.43,2,$52.86,$65.36
2026-02-05,Best Buy,Item 4,electronics,$20.00,1,$20.00,$65.36
2026-01-28,Whole Foods,Item 1,entertainment,$10.17,1,$10.17,$111.72
2026-01-28,Whole Foods,Item 2,dining,$13.37,3,$40.11,$111.72
2026-01-28,Whole Foods,Item 3,electronics,$10.55,3,$31.65,$111.72
2026-01-27,Starbucks,Item 1,transportation,$38.02,2,$76.04,$32.78
2026-01-27,Starbucks,Item 2,groceries,$19.93,3,$59.79,$32.78
2026-01-27,Starbucks,Item 3,transportation,$12.77,2,$25.54,$32.78
2026-01-27,Starbucks,Item 4,entertainment,$45.88,2,$91.76,$32.78
2026-01-27,Best Buy,Item 1,health,$46.34,3,$139.02,$77.09
2026-01-27,Best Buy,Item 2,health,$27.47,1,$27.47,$77.09
2026-01-27,Best Buy,Item 3,electronics,$24.43,1,$24.43,$77.09
2026-01-26,CVS,Item 1,groceries,$20.95,1,$20.95,$72.25
2026-01-26,CVS,Item 2,transportation,$19.24,2,$38.48,$72.25
2026-01-20,CVS,Item 1,electronics,$18.72,3,$56.16,$118.17
2026-01-20,CVS,Item 2,transportation,$41.71,3,$125.13,$118.17
2026-01-20,CVS,Item 3,health,$44.03,1,$44.03,$118.17
